label,name,voxeluncertainty
37,Hippocampus_L,1
38,Hippocampus_R,1
41,Amygdala_L,3
42,Amygdala_R,3
71,Caudate_L,2
72,Caudate_R,2
73,Lentiform_L,1
74,Lentiform_R,1
77,Thalamus_L,1
78,Thalamus_R,1
91,CorpusCallosum,1
92,Lateral_Ventricle_L,0
93,Lateral_Ventricle_R,0,
94,Brainstem,0
100,Cerebellum_L,0
101,Cerebellum_R,0,
108,Subthalamic_Nuc_L,3
109,Subthalamic_Nuc_R,3
110,Hippocampal_Comm,3
111,Fornix,0
112,Cortical_Plate_L,1,
113,Cortical_Plate_R,1
114,Subplate_L,3
115,Subplate_R,3
116,Inter_Zone_L,2
117,Inter_Zone_R,2
118,Prolif_Zone_L,2
119,Prolif_Zone_R,2
120,White_Matter_L,-99
121,White_Matter_R,-99
122,Internal_Capsule_L,2
123,Internal_Capsule_R,2
124,CSF,0
126,Gang_Em_L,1
127,Gang_Em_R,1
