name,uncertainty,erode
Hippocampus_L,1,1
Hippocampus_R,1,1
Amygdala_L,3,1
Amygdala_R,3,1
Caudate_L,2,0
Caudate_R,2,0
Lentiform_L,1,2
Lentiform_R,1,2
Thalamus_L,1,2
Thalamus_R,1,2
CorpusCallosum,1,1
Lateral_Ventricle_L,0,0
Lateral_Ventricle_R,0,0
Brainstem,0,0
Cerebellum_L,0,0
Cerebellum_R,0,0
Subthalamic_Nuc_L,3,0
Subthalamic_Nuc_R,3,0
Hippocampal_Comm,3,0
Fornix,0,0
Cortical_Plate_L,1,0
Cortical_Plate_R,1,0
Subplate_L,3,0
Subplate_R,3,0
Inter_Zone_L,2,0
Inter_Zone_R,2,0
Prolif_Zone_L,2,0
Prolif_Zone_R,2,0
Internal_Capsule_L,2,1
Internal_Capsule_R,2,1
CSF,0,0
Gang_Em_L,1,0
Gang_Em_R,1,0
